abstract_deadline,note,hindex,start,link,date,data,timezone,full_name,place,deadline,end,Note,id,title,pwclink,paperslink,sub,year
,All submissions must be done through ARR. More info <a href='https://2025.naacl.org/calls/papers/'>here</a>.,132,2025-04-29,https://2025.naacl.org,"April 29- May 4, 2024",,UTC-12,,"Albuquerque, New Mexico, USA",2024-10-15 23:59:59,2025-05-04,,naacl25,NAACL,,,NLP,2025
2024-09-27 23:59:59,"Mandatory abstract deadline on September 27, 2024. More info <a href='https://iclr.cc/Conferences/2025/CallForPapers'>here</a>.",304,2025-04-24,https://iclr.cc/Conferences/2025/CallForPapers,"Apr 24-28, 2025",,UTC-12,,Singapore,2024-10-01 23:59:59,2025-04-28,,iclr25,ICLR,,,"['ML', 'AP', 'RO', 'CV', 'NLP', 'SP']",2025
2024-09-04 23:59,"Abstract deadline on Sep 04, 2024. More info <a href='https://logconference.org'>here</a>.",,2024-11-26,https://logconference.org,"November 26 - November 29, 2024",,UTC-12,Learning on Graphs Conference,"Virtual, free to attend",2024-09-11 23:59,2024-11-29,,log24,LoG,,,"['ML', 'DM', 'KR']",2024
2024-10-02 23:59:59,"Abstract deadline on Oct 2, 2024. More info <a href='https://ecir2025.eu/'>here</a>.",,2025-04-06,https://ecir2025.eu/,"April 6 - April 10, 2025",,UTC-12,European Conference on Information Retrieval,"Lucca, Tuscany, Italy",2024-10-09 23:59:59,2025-04-10,,ecir25,ECIR,,,DM,2025
,"This is the second round of submissions. Summplementary material deadline on Sep 11, 2024. More info <a href='https://wacv2025.thecvf.com/'>here</a>.",109,2025-2-28,https://wacv2025.thecvf.com/,"Feb 28 – Mar 4, 2025",,UTC-7,IEEE/CVF Winter Conference on Applications of Computer Vision,"Tucson, Arizona",2024-09-09 23:59:59,2025-3-4,,wacv25_2,WACV,,,"['ML', 'CV']",2025
2024-10-09 23:59:59,"Mandatory abstract deadline on Oct 09, 2024. More info <a href='https://aamas2025.org/'>here</a>.",,2025-05-19,https://aamas2025.org/,"May 19 - May 23, 2025",,UTC-12,,"Detroit, Michigan, USA",2024-10-16 23:59:59,2025-05-23,,aamas25,AAMAS,,,"['KR', 'ML', 'RO', 'AP']",2025
2024-09-05 23:59:59,"Mandatory abstract deadline on Sep 05, 2024. More info <a href='https://chi2025.acm.org/for-authors/papers/'>here</a>.",122,2025-04-26,https://chi2025.acm.org/,"April 26 - May 01, 2025",,UTC-12,The ACM Conference on Human Factors in Computing Systems,"Yokohama, Japan",2024-09-12 23:59:59,2025-05-01,,chi25,CHI,,,HCI,2025
,"More info can be found <a href=""https://coling2025.org/calls/main_conference_papers/#important-dates"">here</a>.",73,2025-01-19,https://coling2025.org/,"January 19-24, 2025",,UTC-12,The 31st International Conference on Computational Linguistics,"Abu Dhabi, UAE",2024-09-16 23:59:59,2025-01-24,,coling25,COLING,,,NLP,2025
,"Abstract deadline on August 7, 2024",,2025-03-10,https://www.wsdm-conference.org/2025/,"March 10-14, 2025",,UTC-12,ACM International Conference on Web Search and Data Mining,"Hannover, Germany",2024-08-14 23:59:00,2025-03-14,,wsdm25,WSDM,,,DM,2025
,,14,2024-11-13,https://www.iberamia.org/iberamia/iberamia2024/,"November 13-15, 2024",,UTC-12,18th Ibero-American Conference on Artificial Intelligence,"Montevideo, Uruguay",2024-06-09 23:59:59,2024-11-15,,iberamia24,Iberamia,,,"['ML', 'NLP', 'CV']",2024
2024-05-29 19:59:59,"Mandatory abstract deadline on May 29, 2024, and supplementary material deadline on June 12, 2024. More info <a href='https://nips.cc/Conferences/2024/CallForDatasetsBenchmarks'>here</a>.",309,2024-12-09,https://nips.cc/Conferences/2024/CallForDatasetsBenchmarks,"December 9 - December 15, 2024",,UTC,Conference on Neural Information Processing Systems - Dataset and Benchmarks Track,"Vancouver, Canada",2024-06-05 19:59:59,2024-12-15,,neurips24DBT,NeurIPS [Dataset and Benchmarks Track],,,"['DM', 'ML', 'NLP', 'SP', 'CV']",2024
,,119,2025-05-19,https://2025.ieee-icra.org,"May 19 - May 23, 2025",,America/Los_Angeles,,"Atlanta, USA",2024-09-15 23:59:59,2025-05-23,,icra25,ICRA,,,RO,2025
,,,2025-2-28,https://wacv2025.thecvf.com/,"Feb 28 – Mar 4, 2025",,America/Los_Angeles,IEEE/CVF Winter Conference on Applications of Computer Vision,"Tucson, Arizona",2024-07-14 23:59:59,2025-3-4,,wacv25,WACV,,,"['ML', 'CV']",2025
